date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:13:05	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sun,%2012%20Dec%202021%2005:13:02%20GMT	https://www.pixithq.com/robots.txt		(from )
11:13:05	19359/19359	---M-Z	200	added ('OK')	text/html	date:Sun,%2012%20Dec%202021%2005:13:02%20GMT	https://www.pixithq.com/	C:/My%20Web%20Sites/Pixit/www.pixithq.com/index.html	(from )
11:13:06	110854/110854	---M-Z	200	added ('OK')	text/css	etag:%22bb5edf1182ba64c5738028a269df6342%22	https://assets.website-files.com/5fe22b52285ac81c0bafbab6/css/pixit.c291ede1a.css	C:/My%20Web%20Sites/Pixit/assets.website-files.com/5fe22b52285ac81c0bafbab6/css/pixit.c291ede1a.css	(from https://www.pixithq.com/)
11:13:07	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/Pixit/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.pixithq.com/)
11:13:07	1547/1547	---M--	200	added ('OK')	image/png	etag:%22674168a29e53252a7462896b961b7da3%22	https://assets.website-files.com/5fe22b52285ac81c0bafbab6/60469508031effd0daa580d3_favicon-32x32.png	C:/My%20Web%20Sites/Pixit/assets.website-files.com/5fe22b52285ac81c0bafbab6/60469508031effd0daa580d3_favicon-32x32.png	(from https://www.pixithq.com/)
11:13:07	3290/3290	---M--	200	added ('OK')	image/png	etag:%225d19a6dc030c169dc83ff100058d12a5%22	https://assets.website-files.com/img/webclip.png	C:/My%20Web%20Sites/Pixit/assets.website-files.com/img/webclip.png	(from https://www.pixithq.com/)
11:13:07	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2012%20Dec%202021%2005:13:05%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/Pixit/www.googletagmanager.com/gtm.45445.delayed	(from https://www.pixithq.com/)
11:13:08	2961/2961	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2012%20Dec%202021%2005:13:05%20GMT	http://js.hs-scripts.com/604681.js	C:/My%20Web%20Sites/Pixit/js.hs-scripts.com/604681.js	(from https://www.pixithq.com/)
11:13:08	21239/21239	---M--	200	added ('OK')	image/png	etag:%2210b6f67e488bc5cd56014a1031d12041%22	https://assets.website-files.com/5fe22b52285ac81c0bafbab6/60107f9133a56be65019ead7_logo%402x.png	C:/My%20Web%20Sites/Pixit/assets.website-files.com/5fe22b52285ac81c0bafbab6/60107f9133a56be65019ead7_logo@2x.png	(from https://www.pixithq.com/)
11:13:09	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sun,%2012%20Dec%202021%2005:13:06%20GMT	https://www.pixithq.com/property-claims	C:/My%20Web%20Sites/Pixit/www.pixithq.com/property-claims	(from https://www.pixithq.com/)
11:13:09	28662/28662	---M-Z	200	added ('OK')	text/html	date:Sun,%2012%20Dec%202021%2005:13:06%20GMT	https://www.pixithq.com/pricing	C:/My%20Web%20Sites/Pixit/www.pixithq.com/pricing.html	(from https://www.pixithq.com/)
11:13:09	7867/7867	---M-Z	200	added ('OK')	text/html	date:Sun,%2012%20Dec%202021%2005:13:07%20GMT	https://www.pixithq.com/contact	C:/My%20Web%20Sites/Pixit/www.pixithq.com/contact.html	(from https://www.pixithq.com/)
11:13:10	15220/15220	---M-Z	200	added ('OK')	text/html	date:Sun,%2012%20Dec%202021%2005:13:07%20GMT	https://www.pixithq.com/blog	C:/My%20Web%20Sites/Pixit/www.pixithq.com/blog.html	(from https://www.pixithq.com/)
11:13:11	342286/342286	---M--	200	added ('OK')	image/png	etag:%22489d10ebc8eabbf65b153024ab46f690%22	https://assets.website-files.com/5fe22b52285ac81c0bafbab6/5ffc9cab3a31d5b2dc5c5349_hero-image-1.png	C:/My%20Web%20Sites/Pixit/assets.website-files.com/5fe22b52285ac81c0bafbab6/5ffc9cab3a31d5b2dc5c5349_hero-image-1.png	(from https://www.pixithq.com/)
11:13:11	19764/19764	---M--	200	added ('OK')	image/png	etag:%22e4a1609055f08c2cefe1415618519164%22	https://assets.website-files.com/5fe22b52285ac81c0bafbab6/5fe36c02d9fe494183eee738_mlse-logo.png	C:/My%20Web%20Sites/Pixit/assets.website-files.com/5fe22b52285ac81c0bafbab6/5fe36c02d9fe494183eee738_mlse-logo.png	(from https://www.pixithq.com/)
11:13:11	6258/6258	---M--	200	added ('OK')	image/png	etag:%2247420a2a3778156b8b40cace7f1fa806%22	https://assets.website-files.com/5fe22b52285ac81c0bafbab6/5fe36c02a0a61649ed2d778c_sundance-logo.png	C:/My%20Web%20Sites/Pixit/assets.website-files.com/5fe22b52285ac81c0bafbab6/5fe36c02a0a61649ed2d778c_sundance-logo.png	(from https://www.pixithq.com/)
11:13:11	6139/6139	---M--	200	added ('OK')	image/png	etag:%2223050a9f1102e230081ab0916be5667d%22	https://assets.website-files.com/5fe22b52285ac81c0bafbab6/5fe36bfeb3d503e38daba7bc_fairmont-logo.png	C:/My%20Web%20Sites/Pixit/assets.website-files.com/5fe22b52285ac81c0bafbab6/5fe36bfeb3d503e38daba7bc_fairmont-logo.png	(from https://www.pixithq.com/)
11:13:12	12379/12379	---M--	200	added ('OK')	image/png	etag:%229a65c28907d6407be76f88cf5d52a77a%22	https://assets.website-files.com/5fe22b52285ac81c0bafbab6/5fe36bfe0d8e2000823ec773_asm-logo.png	C:/My%20Web%20Sites/Pixit/assets.website-files.com/5fe22b52285ac81c0bafbab6/5fe36bfe0d8e2000823ec773_asm-logo.png	(from https://www.pixithq.com/)
11:13:12	8029/8029	---M--	200	added ('OK')	image/png	etag:%227d625048242fb5fc4618e08b53be794c%22	https://assets.website-files.com/5fe22b52285ac81c0bafbab6/5fe36c006833712fdba38604_lollapalooza-logo.png	C:/My%20Web%20Sites/Pixit/assets.website-files.com/5fe22b52285ac81c0bafbab6/5fe36c006833712fdba38604_lollapalooza-logo.png	(from https://www.pixithq.com/)
11:13:12	8839/8839	---M--	200	added ('OK')	image/png	etag:%22881a76bb3ba6b12bd0fb08a04deb450d%22	https://assets.website-files.com/5fe22b52285ac81c0bafbab6/5fe36c042cb0f4c5048d07a6_virginiatech-logo.png	C:/My%20Web%20Sites/Pixit/assets.website-files.com/5fe22b52285ac81c0bafbab6/5fe36c042cb0f4c5048d07a6_virginiatech-logo.png	(from https://www.pixithq.com/)
11:13:13	16651/16651	---M-Z	200	added ('OK')	text/html	date:Sun,%2012%20Dec%202021%2005:13:11%20GMT	https://www.pixithq.com/work-order-management	C:/My%20Web%20Sites/Pixit/www.pixithq.com/work-order-management.html	(from https://www.pixithq.com/)
11:13:13	180896/180896	---M--	200	added ('OK')	image/png	etag:%22c0544f22e9f25cd5dedaca43115ef6b5%22	https://assets.website-files.com/5fe22b52285ac81c0bafbab6/5ff4c775730c14dfa914f971_maintenance-ui-home.png	C:/My%20Web%20Sites/Pixit/assets.website-files.com/5fe22b52285ac81c0bafbab6/5ff4c775730c14dfa914f971_maintenance-ui-home.png	(from https://www.pixithq.com/)
11:13:15	17805/17805	---M-Z	200	added ('OK')	text/html	date:Sun,%2012%20Dec%202021%2005:13:13%20GMT	https://www.pixithq.com/privacy-policy	C:/My%20Web%20Sites/Pixit/www.pixithq.com/privacy-policy.html	(from https://www.pixithq.com/)
11:13:15	1477671/1477671	---M--	200	added ('OK')	image/png	etag:%222bcdd498e7b748b9083f0ef28d53d558%22	https://assets.website-files.com/5fe22b52285ac81c0bafbab6/5ff4c4f461aef5dfac480645_lf-ui-home%403x.png	C:/My%20Web%20Sites/Pixit/assets.website-files.com/5fe22b52285ac81c0bafbab6/5ff4c4f461aef5dfac480645_lf-ui-home@3x.png	(from https://www.pixithq.com/)
11:13:16	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sun,%2012%20Dec%202021%2005:13:13%20GMT	https://www.pixithq.com/terms	C:/My%20Web%20Sites/Pixit/www.pixithq.com/terms	(from https://www.pixithq.com/)
11:13:16	277915/277915	---M--	200	added ('OK')	image/png	etag:%22d056499ca78bf31075e376cce7559672%22	https://assets.website-files.com/5fe22b52285ac81c0bafbab6/6046912f5d860f28bd6b7837_pi-mock%402x.png	C:/My%20Web%20Sites/Pixit/assets.website-files.com/5fe22b52285ac81c0bafbab6/6046912f5d860f28bd6b7837_pi-mock@2x.png	(from https://www.pixithq.com/)
11:13:16	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=5fe22b52285ac81c0bafbab6	C:/My%20Web%20Sites/Pixit/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8c359.js	(from https://www.pixithq.com/)
11:13:17	210162/210162	---M-Z	200	added ('OK')	text/javascript	etag:%2259d18cdafe23e7336a26b2651390c967%22	https://assets.website-files.com/5fe22b52285ac81c0bafbab6/js/pixit.f278cf449.js	C:/My%20Web%20Sites/Pixit/assets.website-files.com/5fe22b52285ac81c0bafbab6/js/pixit.f278cf449.js	(from https://www.pixithq.com/)
